case_id,model_name,layer,ffn_pos,ffn_neg,attn_pos,attn_neg,ffn_delta,attn_delta,pos_total,neg_total,total_delta
3500,gpt2-small,0,-1.49219,1.20996,3.08594,2.0,2.7021499999999996,-1.08594,1.59375,3.2099599999999997,1.6162099999999997
3500,gpt2-small,1,-1.5957,-1.30762,3.69336,1.99512,0.2880799999999999,-1.6982400000000002,2.0976600000000003,0.6875,-1.4101600000000003
3500,gpt2-small,2,-1.60352,0.6499,3.03516,2.14648,2.25342,-0.8886799999999999,1.4316399999999998,2.79638,1.3647400000000003
3500,gpt2-small,3,1.10352,1.79102,2.17578,1.65234,0.6875,-0.5234400000000001,3.2793,3.44336,0.1640600000000001
3500,gpt2-small,4,-0.03842,-1.07227,1.07617,1.67676,-1.0338500000000002,0.60059,1.0377500000000002,0.60449,-0.4332600000000002
3500,gpt2-small,5,-3.91406,-3.32812,6.74219,4.01172,0.5859399999999999,-2.7304699999999995,2.82813,0.6836000000000002,-2.1445299999999996
3500,gpt2-small,6,8.23438,3.23242,5.71875,4.84375,-5.00196,-0.875,13.95313,8.07617,-5.87696
3500,gpt2-small,7,10.19531,1.73242,13.33594,8.35938,-8.46289,-4.976560000000001,23.53125,10.0918,-13.43945
3500,gpt2-small,8,15.74219,11.125,27.0625,16.5,-4.617190000000001,-10.5625,42.80469,27.625,-15.17969
3500,gpt2-small,9,19.35938,22.5,63.1875,59.46875,3.1406199999999984,-3.71875,82.54688,81.96875,-0.5781300000000016
3500,gpt2-small,10,35.75,33.28125,30.34375,37.09375,-2.46875,6.75,66.09375,70.375,4.28125
3500,gpt2-small,11,-27.625,-15.17969,23.23438,34.6875,12.44531,11.453119999999998,-4.390619999999998,19.50781,23.898429999999998
3500,pythia-160m,0,2.12109,-0.98584,-0.98389,-1.85645,-3.10693,-0.8725599999999999,1.1372,-2.84229,-3.97949
3500,pythia-160m,1,-0.32568,-0.16577,-0.73975,-0.8999,0.15991000000000002,-0.16015000000000001,-1.06543,-1.0656700000000001,-0.00024000000000001798
3500,pythia-160m,2,0.81787,1.64746,2.36914,1.26172,0.8295899999999999,-1.1074199999999998,3.18701,2.90918,-0.2778299999999998
3500,pythia-160m,3,0.63916,0.96045,-3.79688,-2.46289,0.3212900000000001,1.33399,-3.15772,-1.5024399999999998,1.65528
3500,pythia-160m,4,1.29688,1.51953,1.125,0.92236,0.22265000000000001,-0.20264000000000004,2.42188,2.44189,0.020010000000000083
3500,pythia-160m,5,0.2229,2.17578,3.24023,2.58203,1.95288,-0.6581999999999999,3.46313,4.75781,1.29468
3500,pythia-160m,6,-0.14966,0.76465,0.72949,0.82715,0.9143100000000001,0.09766000000000008,0.57983,1.5918,1.0119700000000003
3500,pythia-160m,7,0.36401,0.99121,4.22656,4.66406,0.6272,0.4375,4.5905700000000005,5.65527,1.0646999999999993
3500,pythia-160m,8,6.29688,3.53711,3.04883,2.64062,-2.7597699999999996,-0.40820999999999996,9.34571,6.17773,-3.16798
3500,pythia-160m,9,-1.62598,0.75293,5.87109,6.625,2.37891,0.7539100000000003,4.2451099999999995,7.37793,3.1328200000000006
3500,pythia-160m,10,8.75,6.70703,2.73047,2.84766,-2.0429700000000004,0.1171899999999999,11.48047,9.554689999999999,-1.9257800000000014
3500,pythia-160m,11,53.625,46.75,5.90234,7.21875,-6.875,1.3164100000000003,59.52734,53.96875,-5.558590000000002
