case_id,model_name,layer,ffn_pos,ffn_neg,attn_pos,attn_neg,ffn_delta,attn_delta,pos_total,neg_total,total_delta
12009,gpt2-small,0,7.69531,-1.09277,0.85059,-1.13477,-8.78808,-1.98536,8.5459,-2.2275400000000003,-10.77344
12009,gpt2-small,1,1.06445,-0.4917,1.69336,1.33887,-1.55615,-0.35448999999999997,2.75781,0.84717,-1.9106400000000001
12009,gpt2-small,2,1.05566,-2.42188,0.08661,-1.71875,-3.47754,-1.80536,1.1422700000000001,-4.14063,-5.2829
12009,gpt2-small,3,1.77734,-4.47266,1.78125,-0.8584,-6.25,-2.63965,3.5585899999999997,-5.331060000000001,-8.88965
12009,gpt2-small,4,1.48926,-3.16602,0.93066,1.1582,-4.65528,0.22753999999999985,2.4199200000000003,-2.00782,-4.42774
12009,gpt2-small,5,0.36328,-1.55371,2.2168,0.12805,-1.91699,-2.08875,2.58008,-1.42566,-4.00574
12009,gpt2-small,6,-2.35547,-3.20508,2.52539,3.25586,-0.8496100000000002,0.7304700000000004,0.16991999999999985,0.05078000000000005,-0.1191399999999998
12009,gpt2-small,7,1.69629,-4.16797,1.88867,0.6499,-5.864260000000001,-1.2387700000000001,3.58496,-3.5180700000000003,-7.10303
12009,gpt2-small,8,12.02344,-1.92773,3.35156,2.13477,-13.951170000000001,-1.21679,15.375,0.2070400000000001,-15.16796
12009,gpt2-small,9,15.60156,-6.33984,3.09375,0.48096,-21.941399999999998,-2.61279,18.69531,-5.85888,-24.55419
12009,gpt2-small,10,27.57812,-6.62109,0.46045,3.19531,-34.19921,2.7348600000000003,28.03857,-3.4257799999999996,-31.46435
12009,gpt2-small,11,24.28125,2.45312,8.96094,6.33594,-21.82813,-2.625000000000001,33.24219,8.78906,-24.45313
12009,pythia-160m,0,0.62939,-0.23572,0.69629,1.61914,-0.86511,0.9228500000000001,1.32568,1.38342,0.057740000000000125
12009,pythia-160m,1,-1.01367,-0.37451,0.05679,-0.66211,0.6391600000000001,-0.7189,-0.9568800000000001,-1.03662,-0.07974000000000003
12009,pythia-160m,2,-1.61816,0.68652,0.81738,1.24805,2.3046800000000003,0.4306700000000001,-0.80078,1.9345700000000001,2.7353500000000004
12009,pythia-160m,3,0.99316,-2.13867,0.94336,-0.26855,-3.13183,-1.21191,1.93652,-2.4072199999999997,-4.3437399999999995
12009,pythia-160m,4,0.2301,0.33521,-0.53711,-0.43555,0.10511000000000001,0.10155999999999998,-0.30701,-0.10033999999999998,0.20667000000000002
12009,pythia-160m,5,-0.29565,2.99805,0.80127,0.30469,3.2937000000000003,-0.49658,0.50562,3.30274,2.79712
12009,pythia-160m,6,-3.58398,-0.98877,1.43457,1.68066,2.59521,0.24609000000000014,-2.14941,0.69189,2.8413
12009,pythia-160m,7,1.6084,-2.2168,-0.78613,-0.33862,-3.8252,0.44751,0.8222700000000001,-2.5554200000000002,-3.3776900000000003
12009,pythia-160m,8,1.31934,-1.85352,2.30859,-0.3103,-3.17286,-2.6188900000000004,3.62793,-2.1638200000000003,-5.79175
12009,pythia-160m,9,5.61719,1.09277,0.48364,0.70898,-4.52442,0.22534000000000004,6.10083,1.8017500000000002,-4.29908
12009,pythia-160m,10,5.52734,-1.36523,1.85059,1.68848,-6.892569999999999,-0.16210999999999998,7.377929999999999,0.32325000000000004,-7.054679999999999
12009,pythia-160m,11,65.625,22.71875,5.28125,5.70312,-42.90625,0.4218700000000002,70.90625,28.42187,-42.48438
